"Name","Created","Runtime","Hostname","Notes","GPU Type","GPU Count","State","Tags","cuda_graph_impl","enable_cuda_graph","encoder_num_layers","ffn_hidden_size","hidden_size","kv_channels","micro_batch_size","num_attention_heads","num_layers","num_query_groups","overlap_grad_reduce","overlap_param_gather","slurm_job_name","te_rng_tracker","wandb_save_dir"
"throughput-3b-4n-2422309","2026-05-29T10:51:09.000Z","0","nid006648","-","NVIDIA GH200 120GB","4","crashed","","local","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-4n"
"throughput-8b-4n-2422310","2026-05-29T10:51:07.000Z","16","nid007255","-","NVIDIA GH200 120GB","4","crashed","","local","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-4n"
"throughput-1.5b-4n-2422308","2026-05-29T10:50:40.000Z","16","nid006784","-","NVIDIA GH200 120GB","4","crashed","","local","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-4n"
"throughput-350m-4n-2422306","2026-05-29T10:50:11.000Z","18","nid007365","-","NVIDIA GH200 120GB","4","failed","","local","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-4n"
"throughput-760m-4n-2422307","2026-05-29T10:50:04.000Z","16","nid006790","-","NVIDIA GH200 120GB","4","crashed","","local","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-4n"
"throughput-3b-4n-2422302","2026-05-29T10:49:08.000Z","1354","nid006758","-","NVIDIA GH200 120GB","4","finished","","none","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-4n"
"throughput-760m-4n-2422300","2026-05-29T10:49:07.000Z","1304","nid007213","-","NVIDIA GH200 120GB","4","finished","","none","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-4n"
"throughput-350m-4n-2422299","2026-05-29T10:49:07.000Z","1304","nid007180","-","NVIDIA GH200 120GB","4","finished","","none","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-4n"
"throughput-1.5b-4n-2422301","2026-05-29T10:49:06.000Z","1345","nid006709","-","NVIDIA GH200 120GB","4","finished","","none","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-4n"
"throughput-125m-4n-2422298","2026-05-29T10:49:05.000Z","1306","nid007172","-","NVIDIA GH200 120GB","4","finished","","none","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-4n"
"throughput-3b-1n-2422296","2026-05-29T10:49:04.000Z","1683","nid006182","-","NVIDIA GH200 120GB","4","finished","","local","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-1n"
"throughput-8b-4n-2422303","2026-05-29T10:49:04.000Z","1382","nid006773","-","NVIDIA GH200 120GB","4","finished","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-4n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-4n"
"throughput-8b-1n-2422297","2026-05-29T10:49:04.000Z","1719","nid007415","-","NVIDIA GH200 120GB","4","finished","","local","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-125m-4n-2422305","2026-05-29T10:49:03.000Z","16","nid006784","-","NVIDIA GH200 120GB","4","crashed","","local","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-4n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-4n"
"throughput-1.5b-1n-2422295","2026-05-29T10:42:48.000Z","1684","nid006810","-","NVIDIA GH200 120GB","4","finished","","local","false","48","4352","1600","80","4","20","48","4","true","true","gipfel-throughput-1.5b-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-1.5b-1n"
"throughput-760m-1n-2422294","2026-05-29T10:42:16.000Z","1716","nid007573","-","NVIDIA GH200 120GB","4","finished","","local","false","24","4096","1536","96","4","16","24","4","true","true","gipfel-throughput-760m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-760m-1n"
"throughput-8b-1n-2422291","2026-05-29T10:40:19.000Z","1770","nid006814","-","NVIDIA GH200 120GB","4","crashed","","none","false","32","14336","4096","128","2","32","32","8","true","true","gipfel-throughput-8b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-8b-1n"
"throughput-350m-1n-2422293","2026-05-29T10:40:15.000Z","612","nid006848","-","NVIDIA GH200 120GB","4","finished","","local","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-1n"
"throughput-125m-1n-2422292","2026-05-29T10:40:12.000Z","615","nid006834","-","NVIDIA GH200 120GB","4","finished","","local","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-1n","true","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
"throughput-350m-1n-2422287","2026-05-29T10:36:07.000Z","860","nid007416","-","NVIDIA GH200 120GB","4","finished","","none","false","24","2816","1024","64","8","16","24","4","true","true","gipfel-throughput-350m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-350m-1n"
"throughput-3b-1n-2422290","2026-05-29T10:36:05.000Z","1385","nid007447","-","NVIDIA GH200 120GB","4","finished","","none","false","32","8192","3072","128","4","24","32","8","true","true","gipfel-throughput-3b-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-3b-1n"
"throughput-125m-1n-2422286","2026-05-29T10:36:04.000Z","862","nid006668","-","NVIDIA GH200 120GB","4","finished","","none","false","12","2048","768","64","16","12","12","4","true","true","gipfel-throughput-125m-50s-1n","false","/iopsstor/scratch/cscs/course_00229/gipfelsturm/gipfelsturm/throughput-125m-1n"
