"Name","Runtime","End Time","Hostname","Notes","Tags","cpu_offloading","global_batch_size","micro_batch_size","overlap_cpu_optimizer_d2h_h2d","slurm_job_name","use_torch_optimizer_for_cpu_offload","wandb_save_dir","cpu_offloading_num_layers","fine_grained_activation_offloading","min_offloaded_tensor_size","offload_modules","optimizer_cpu_offload","optimizer_offload_fraction","rl_offload_inference_model_weights_when_idle","rl_offload_kv_cache_during_training","rl_offload_optimizer_during_inference"
"throughput-760m-mbs12-nooffload-1n-2421426","300","2026-05-29T08:53:32.000Z","nid006694","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-nooffload-1n-2421428","374","2026-05-29T08:54:45.000Z","nid007458","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-nooffload-1n-2423722","413","2026-05-29T13:02:38.000Z","nid006891","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-nooffload-1n-2423724","469","2026-05-29T13:05:11.000Z","nid006856","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-nooffload-1n-2423726","479","2026-05-29T13:07:28.000Z","nid006908","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-nooffload-1n-2423729","499","2026-05-29T13:08:51.000Z","nid006959","-","submit","","240","12","false","gipfel-throughput-760m-mbs12-nooffload-50s-1n","false","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-nooffload-1n","0","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-offload-1n-2421425","368","2026-05-29T08:54:45.000Z","nid006249","-","submit","true","240","12","true","gipfel-throughput-760m-mbs12-offload-50s-1n","true","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-offload-1n","23","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-offload-1n-2421427","301","2026-05-29T08:53:32.000Z","nid006959","-","submit","true","240","12","true","gipfel-throughput-760m-mbs12-offload-50s-1n","true","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-offload-1n","23","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-offload-1n-2423721","418","2026-05-29T12:57:22.000Z","nid006292","-","submit","true","240","12","true","gipfel-throughput-760m-mbs12-offload-50s-1n","true","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-offload-1n","23","false","1048576","[]","false","1","false","false","false"
"throughput-760m-mbs12-offload-1n-2423723","451","2026-05-29T13:04:15.000Z","nid006923","-","submit","true","240","12","true","gipfel-throughput-760m-mbs12-offload-50s-1n","true","/iopsstor/scratch/cscs/course_00222/gipfelsturm/gipfelsturm/throughput-760m-mbs12-offload-1n","23","false","1048576","[]","false","1","false","false","false"
